,228845_at
SNOWBALL_000002,224229_s_at
SNOWBALL_000002,219393_s_at
SNOWBALL_000002,222880_at
SNOWBALL_000002,212607_at
SNOWBALL_000002,212609_s_at
SNOWBALL_000002,242879_x_at
SNOWBALL_000003,220933_s_at
SNOWBALL_000003,242776_at
SNOWBALL_000005,210072_at
SNOWBALL_000006,207955_at
SNOWBALL_000007,207214_at
SNOWBALL_000008,224093_at
SNOWBALL_000009,210875_s_at
SNOWBALL_000009,212764_at
SNOWBALL_000009,212758_s_at
SNOWBALL_000009,239952_at
SNOWBALL_000015,209967_s_at
SNOWBALL_000015,214508_x_at
SNOWBALL_000015,230511_at
SNOWBALL_000015,207630_s_at
SNOWBALL_000015,228092_at
SNOWBALL_000015,210171_s_at
SNOWBALL_000019,215223_s_at
SNOWBALL_000019,216841_s_at
SNOWBALL_000019,221477_s_at
SNOWBALL_000019,215078_at
SNOWBALL_000020,1565889_at
SNOWBALL_000020,212184_s_at
SNOWBALL_000020,210284_s_at
SNOWBALL_000021,224366_s_at
SNOWBALL_000022,211676_s_at
SNOWBALL_000022,202727_s_at
SNOWBALL_000024,206177_s_at
SNOWBALL_000025,213624_at
SNOWBALL_000029,213845_at
SNOWBALL_000029,1560142_at
SNOWBALL_000029,1563754_at
SNOWBALL_000029,1555375_at
SNOWBALL_000029,1560265_at
SNOWBALL_000029,215655_at
SNOWBALL_000030,212543_at
SNOWBALL_000032,215411_s_at
SNOWBALL_000032,202987_at
SNOWBALL_000037,235830_at
SNOWBALL_000037,223178_s_at
SNOWBALL_000037,241962_at
SNOWBALL_000037,223177_at
SNOWBALL_000038,204707_s_at
SNOWBALL_000039,235086_at
SNOWBALL_000039,201109_s_at
SNOWBALL_000039,201110_s_at
SNOWBALL_000039,201107_s_at
SNOWBALL_000039,201108_s_at
SNOWBALL_000039,239336_at
SNOWBALL_000039,215775_at
SNOWBALL_000041,205132_at
SNOWBALL_000046,205132_at
SNOWBALL_000048,205132_at
SNOWBALL_000050,208949_s_at
SNOWBALL_000054,211118_x_at
SNOWBALL_000054,211119_at
SNOWBALL_000054,211117_x_at
SNOWBALL_000054,210780_at
SNOWBALL_000054,211120_x_at
SNOWBALL_000055,1553574_at
SNOWBALL_000056,207817_at
SNOWBALL_000066,207817_at
SNOWBALL_000075,207817_at
SNOWBALL_000080,208182_x_at
SNOWBALL_000080,207964_x_at
SNOWBALL_000080,208259_x_at
SNOWBALL_000080,208448_x_at
SNOWBALL_000080,207932_at
SNOWBALL_000080,214569_at
SNOWBALL_000080,208375_at
SNOWBALL_000080,208344_x_at
SNOWBALL_000080,211338_at
SNOWBALL_000080,211145_x_at
SNOWBALL_000080,208548_at
SNOWBALL_000080,208261_x_at
SNOWBALL_000080,211405_x_at
SNOWBALL_000081,207817_at
SNOWBALL_000087,207817_at
SNOWBALL_000089,208173_at
SNOWBALL_000090,223834_at
SNOWBALL_000090,227458_at
SNOWBALL_000091,215925_s_at
SNOWBALL_000092,215925_s_at
SNOWBALL_000093,215925_s_at
SNOWBALL_000096,216979_at
SNOWBALL_000096,207978_s_at
SNOWBALL_000096,209959_at
SNOWBALL_000100,205477_s_at
SNOWBALL_000102,205477_s_at
SNOWBALL_000103,224341_x_at
SNOWBALL_000103,232068_s_at
SNOWBALL_000103,1552798_a_at
SNOWBALL_000103,221060_s_at
SNOWBALL_000104,224341_x_at
SNOWBALL_000104,232068_s_at
SNOWBALL_000104,1552798_a_at
SNOWBALL_000104,221060_s_at
SNOWBALL_000107,224341_x_at
SNOWBALL_000107,232068_s_at
SNOWBALL_000107,1552798_a_at
SNOWBALL_000107,221060_s_at
SNOWBALL_000109,210333_at
SNOWBALL_000110,227496_at
SNOWBALL_000110,207742_s_at
SNOWBALL_000110,211402_x_at
SNOWBALL_000110,210392_x_at
SNOWBALL_000110,210391_at
SNOWBALL_000110,227494_at
SNOWBALL_000110,228894_at
SNOWBALL_000113,201808_s_at
SNOWBALL_000113,201809_s_at
SNOWBALL_000114,204413_at
SNOWBALL_000117,204271_s_at
SNOWBALL_000117,204273_at
SNOWBALL_000117,206701_x_at
SNOWBALL_000119,223049_at
SNOWBALL_000119,215075_s_at
SNOWBALL_000124,205297_s_at
SNOWBALL_000124,1555746_at
SNOWBALL_000124,1555748_x_at
SNOWBALL_000126,203514_at
SNOWBALL_000126,227131_at
SNOWBALL_000127,209749_s_at
SNOWBALL_000127,227463_at
SNOWBALL_000129,220565_at
SNOWBALL_000130,219364_at
SNOWBALL_000132,206337_at
SNOWBALL_000133,224447_s_at
SNOWBALL_000134,224447_s_at
SNOWBALL_000135,205424_at
SNOWBALL_000136,205790_at
SNOWBALL_000144,202433_at
SNOWBALL_000149,200049_at
SNOWBALL_000153,231408_at
SNOWBALL_000153,235245_at
SNOWBALL_000157,217794_at
SNOWBALL_000158,225124_at
SNOWBALL_000158,230455_at
