reporterID GSM328803 GSM328805 GSM328816 GSM328818 GSM328828
1 100001.2 0 0 1 1 0
2 100001.1 1 0 1 0 1
3 100002.2 1 0 1 0 0
4 100002.1 1 0 1 0 0
5 100003.1 1 0 1 1 1
6 100003.2 1 0 1 1 0
7 100004.1 1 1 1 1 1
8 100004.2 1 1 1 1 1
9 100005.2 1 1 1 1 1
10 100005.1 1 1 1 1 1
11 100006.1 0 1 1 1 1
12 100006.2 1 1 1 1 1
13 100007.1 1 1 1 1 1
14 100007.2 1 1 1 1 1
15 100008.2 1 1 1 1 1
16 100008.1 1 1 1 1 1
17 100009.2 1 1 1 1 1
18 100009.1 1 1 1 1 1
19 100010.1 1 1 1 1 1
20 100010.2 1 1 1 1 1
21 100011.2 1 1 1 1 1
22 100011.1 1 1 1 1 1
23 100012.1 1 1 1 1 1
24 100012.2 1 1 1 1 1
25 100013.1 0 0 1 1 0
26 100013.2 1 0 1 1 0
27 100014.1 0 0 0 0 0
28 100014.2 0 0 0 0 0
29 100015.2 1 0 1 1 0
30 100015.1 1 0 1 1 0
31 100016.1 0 0 1 1 0
32 100016.2 0 0 1 0 0
33 100017.2 0 0 0 1 1
34 100017.1 0 0 0 0 1
35 100018.2 1 1 0 1 0
36 100018.1 1 1 0 0 1
37 100019.1 0 0 0 0 1
38 100019.2 0 0 0 0 0
39 100020.1 1 1 0 1 1
40 100020.2 1 1 0 1 0
41 100021.2 1 1 0 1 1
42 100021.1 1 1 1 1 1
43 100022.2 1 1 1 0 1
44 100022.1 1 1 1 1 1
45 100023.1 0 1 1 1 1
46 100023.2 1 1 0 1 1
47 100024.1 1 1 1 1 1
48 100024.2 1 1 1 1 1
49 100025.2 1 1 0 1 1
50 100025.1 1 1 1 1 0
51 100026.1 1 0 1 1 0
52 100026.2 1 0 1 1 0
53 100027.1 0 0 1 1 0
54 100027.2 0 0 1 0 0
55 100028.2 1 1 1 1 1
56 100028.1 1 1 1 1 1
57 100029.2 1 1 1 1 1
58 100029.1 1 0 1 1 1
59 100030.1 1 1 1 1 0
60 100030.2 1 1 1 1 0
61 100031.2 1 1 1 1 1
62 100031.1 1 1 1 1 1
63 100032.1 1 1 1 1 1
64 100032.2 1 1 1 1 1
65 100033.2 1 1 1 1 1
66 100033.1 1 1 1 1 1
67 100034.1 1 1 1 0 1
68 100034.2 1 1 1 1 1
69 100035.2 1 1 1 1 1
70 100035.1 1 1 1 1 1
71 100036.1 1 1 1 1 1
72 100036.2 1 1 0 1 1
73 100037.2 0 1 0 0 0
74 100037.1 0 0 1 1 0
75 100038.2 1 0 1 1 0
76 100038.1 1 0 1 1 0
77 100039.1 0 0 0 0 0
78 100039.2 0 0 0 0 0
79 100040.1 1 1 1 0 0
80 100040.2 1 0 0 1 0
81 100041.2 1 1 1 0 1
82 100041.1 1 1 0 0 1
83 100042.2 1 1 0 1 1
84 100042.1 1 0 1 0 0
85 100043.1 1 1 0 0 0
86 100043.2 1 1 0 0 1
87 100044.2 1 1 1 1 1
88 100044.1 1 1 1 1 1
89 100045.1 1 1 1 0 1
90 100045.2 1 1 1 0 1
91 100046.1 0 1 1 0 1
92 100046.2 1 1 0 0 1
93 100047.2 1 1 1 1 1
94 100047.1 1 1 1 1 1
95 100048.1 1 1 1 0 1
96 100048.2 1 1 1 1 1
97 100049.2 0 0 0 0 0
98 100049.1 0 0 0 0 0
99 100050.2 1 0 1 0 1
100 100050.1 1 0 1 0 1
101 100051.1 0 0 1 0 0
102 100051.2 0 0 1 0 0
103 100052.2 1 0 1 0 1
104 100052.1 1 1 1 1 1
105 100053.2 1 0 1 1 1
106 100053.1 1 1 1 1 1
107 100054.2 1 0 1 0 0
108 100054.1 1 1 1 1 1
109 100055.1 1 1 1 1 1
110 100055.2 1 1 1 1 1
111 100056.1 1 1 1 0 1
112 100056.2 1 1 1 1 1
113 100057.1 1 1 1 0 1
114 100057.2 1 1 1 0 1
115 100058.2 1 1 1 0 1
116 100058.1 1 1 1 1 1
117 100059.1 1 1 0 1 1
118 100059.2 0 1 0 1 1
119 100060.1 1 0 1 1 1
120 100060.2 1 1 1 0 1
121 100061.2 1 1 1 1 0
122 100061.1 0 1 1 1 0
123 100062.2 0 1 1 1 0
124 100062.1 0 1 1 1 0
125 100063.2 0 0 1 1 0
126 100063.1 0 0 0 0 0
127 100064.1 0 0 1 1 0
128 100064.2 0 1 1 1 0
129 100065.2 1 1 1 1 1
130 100065.1 0 0 1 1 1
131 100066.2 1 1 1 0 0
132 100066.1 1 1 0 0 0
133 100067.2 1 1 0 1 1
134 100067.1 1 1 1 1 1
135 100068.2 1 1 1 1 0
136 100068.1 1 1 1 1 1
137 100069.1 1 1 0 1 1
138 100069.2 0 1 1 1 1
139 100070.2 1 1 0 0 1
140 100070.1 1 1 1 0 1
141 100071.1 1 1 0 1 1
142 100071.2 1 1 1 1 1
143 100072.1 1 1 1 0 1
144 100072.2 1 0 1 0 1
145 100073.2 0 0 1 0 0
146 100073.1 0 1 1 0 0
147 100074.2 1 0 1 0 1
148 100074.1 1 1 1 1 1
149 100075.2 1 0 1 1 0
150 100075.1 1 1 1 1 0
151 100076.1 1 1 1 1 0
152 100076.2 1 1 1 1 1
153 100077.1 1 1 1 1 1
154 100077.2 1 1 1 1 1
155 100078.2 1 1 1 1 1
156 100078.1 1 1 1 1 1
157 100079.1 1 1 1 1 1
158 100079.2 1 1 0 1 1
159 100080.1 1 1 0 1 1
160 100080.2 1 1 0 1 0
161 100081.2 1 1 1 1 1
162 100081.1 1 1 0 1 1
163 100082.2 0 1 1 0 1
164 100082.1 0 1 0 1 0
165 100083.2 1 1 1 1 1
166 100083.1 1 1 1 1 1
167 100084.1 1 1 1 1 1
168 100084.2 1 1 1 1 1
169 100085.2 0 0 0 0 0
170 100085.1 0 0 0 0 0
171 100086.2 1 0 0 1 0
172 100086.1 0 0 0 0 1
173 100087.2 0 0 0 0 1
174 100087.1 0 1 0 0 1
175 100088.2 0 1 1 0 1
176 100088.1 0 0 1 0 1
177 100089.1 0 1 0 1 1
178 100089.2 0 1 0 1 1
179 100090.1 0 1 0 1 1
180 100090.2 0 1 0 1 1
181 100091.2 1 1 0 1 1
182 100091.1 0 1 0 1 1
183 100092.2 0 1 1 1 1
184 100092.1 0 0 1 1 0
185 100093.1 0 0 0 1 1
186 100093.2 0 1 1 1 1
187 100094.1 0 0 0 0 0
188 100094.2 0 0 0 0 1
189 100095.1 0 1 0 0 1
190 100095.2 0 1 0 1 1
191 100096.2 1 1 1 1 1
192 100096.1 1 1 0 1 1
193 100097.1 1 0 1 1 0
194 100097.2 1 0 1 1 0
195 100098.2 0 0 0 0 0
196 100098.1 1 0 0 0 0
197 100099.2 0 0 1 0 0
198 100099.1 0 0 1 0 0
199 100100.2 0 1 1 1 1
200 100100.1 1 1 1 1 1
201 100101.2 1 1 1 1 1
202 100101.1 1 0 1 1 1
203 100102.2 1 1 0 0 0
204 100102.1 0 1 1 1 0
205 100103.2 1 1 1 1 1
206 100103.1 1 1 1 1 1
207 100104.1 1 1 1 1 1
208 100104.2 1 1 1 1 1
209 100105.1 1 1 0 1 1
210 100105.2 1 1 0 1 1
211 100106.1 1 1 1 1 1
212 100106.2 1 1 1 1 1
213 100107.1 1 1 1 1 1
214 100107.2 1 1 1 1 1
215 100108.2 1 1 1 1 1
216 100108.1 1 1 1 1 1
217 100109.1 0 0 0 0 0
218 100109.2 0 0 0 0 0
219 100110.1 1 0 1 1 0
220 100110.2 1 0 1 1 0
221 100111.1 1 0 0 0 0
222 100111.2 0 0 1 0 0
223 100112.2 0 0 0 0 0
224 100112.1 1 0 0 0 0
225 100113.2 1 1 1 1 1
226 100113.1 1 1 1 1 0
227 100114.1 1 1 0 1 1
228 100114.2 1 1 1 1 1
229 100115.2 1 1 0 1 1
230 100115.1 1 1 1 1 1
231 100116.2 0 1 0 0 0
232 100116.1 0 1 0 1 0
233 100117.2 0 1 1 1 1
234 100117.1 1 1 0 1 1
235 100118.1 1 1 1 1 1
236 100118.2 1 1 1 1 1
237 100119.2 1 1 1 1 1
238 100119.1 1 1 1 1 1
239 100120.1 1 1 1 1 1
240 100120.2 1 1 1 1 1
241 100121.2 0 1 0 0 0
242 100121.1 1 1 0 1 0
243 100122.1 0 0 0 1 0
244 100122.2 0 0 0 0 0
245 100123.2 1 0 0 0 0
246 100123.1 0 0 1 0 1
247 100124.1 0 0 0 0 0
248 100124.2 1 0 0 0 1
249 100125.2 1 1 1 1 0
250 100125.1 1 1 1 1 1
251 100126.1 1 1 0 1 1
252 100126.2 1 1 0 1 1
253 100127.1 1 1 0 1 1
254 100127.2 1 1 0 1 1
255 100128.1 1 1 0 1 1
256 100128.2 1 1 1 1 0
257 100129.2 1 1 0 1 1
258 100129.1 1 1 1 1 1
259 100130.2 1 1 0 0 1
260 100130.1 0 0 0 0 1
261 100131.2 1 1 1 1 1
262 100131.1 1 1 1 1 1
263 100132.2 1 1 1 1 1
264 100132.1 1 1 1 1 1
265 100133.2 1 1 0 0 0
266 100133.1 1 0 0 0 0
267 100134.2 0 0 0 1 0
268 100134.1 0 1 0 1 0
269 100135.2 0 0 0 0 1
270 100135.1 0 0 0 0 1
271 100136.2 1 1 0 1 0
272 100136.1 0 1 0 1 1
273 100137.2 1 0 1 0 0
274 100137.1 1 0 0 0 0
275 100138.1 1 0 1 0 1
276 100138.2 1 1 1 0 1
277 100139.2 1 1 0 1 1
278 100139.1 1 0 1 1 1
279 100140.1 1 1 1 0 1
280 100140.2 1 1 1 1 1
281 100141.2 1 1 1 0 1
282 100141.1 1 1 0 1 1
283 100142.1 1 1 1 1 1
284 100142.2 1 1 1 1 1
285 100143.2 1 1 1 1 1
286 100143.1 1 1 1 1 1
287 100144.1 1 1 1 1 1
288 100144.2 1 1 1 0 1
289 100145.2 1 1 0 0 0
290 100145.1 0 1 0 0 0
291 100146.1 1 0 0 0 0
292 100146.2 0 0 0 1 0
293 100147.1 1 0 1 0 1
294 100147.2 1 0 1 1 1
295 100148.1 1 1 1 1 0
296 100148.2 1 1 1 1 1
297 100149.2 1 0 1 1 0
298 100149.1 1 0 1 1 0
299 100150.1 1 1 1 1 1
300 100150.2 1 1 1 1 1
301 100151.1 0 1 1 1 1
302 100151.2 1 1 1 1 1
303 100152.2 1 1 0 1 1
304 100152.1 1 1 1 1 1
305 100153.1 1 1 1 1 1
306 100153.2 1 1 1 1 1
307 100154.2 1 1 0 1 1
308 100154.1 1 1 0 0 1
309 100155.2 1 1 0 1 1
310 100155.1 1 1 0 1 1
311 100156.2 1 1 1 1 1
312 100156.1 1 1 1 1 1
313 100157.2 1 1 0 1 1
314 100157.1 1 1 1 1 0
315 100158.1 0 0 1 1 0
316 100158.2 1 0 0 1 0
317 100159.2 0 0 0 0 1
318 100159.1 0 0 0 1 1
319 100160.1 1 1 1 0 1
320 100160.2 1 1 1 1 1
321 100161.2 0 0 0 0 0
322 100161.1 0 0 0 0 0
323 100162.1 1 1 1 1 0
324 100162.2 1 1 1 1 1
325 100163.2 1 1 1 1 0
326 100163.1 1 1 0 0 1
327 100164.1 1 1 1 1 1
328 100164.2 1 1 1 1 0
329 100165.2 1 1 1 1 1
330 100165.1 1 1 1 1 1
331 100166.1 1 1 1 0 1
332 100166.2 1 1 1 0 1
333 100167.2 1 1 0 0 1
334 100167.1 1 1 1 1 1
335 100168.1 1 1 1 1 1
336 100168.2 1 1 1 1 1
337 100169.2 0 0 0 0 0
338 100169.1 0 0 0 0 0
339 100170.2 1 0 0 0 1
340 100170.1 1 0 0 0 0
341 100171.2 0 0 0 0 1
342 100171.1 1 1 0 1 0
343 100172.1 1 1 0 1 1
344 100172.2 0 1 0 1 1
345 100173.2 0 1 0 1 0
346 100173.1 0 1 0 0 1
347 100174.1 0 1 1 1 1
348 100174.2 0 1 0 1 1
349 100175.1 0 1 1 1 1
350 100175.2 1 1 0 1 1
351 100176.1 1 1 1 1 1
352 100176.2 1 1 1 1 1
353 100177.2 0 1 1 1 1
354 100177.1 0 1 1 1 1
355 100178.1 0 1 0 0 1
356 100178.2 0 1 0 1 1
357 100179.2 0 1 0 0 0
358 100179.1 0 1 0 0 0
359 100180.2 1 1 0 1 1
360 100180.1 1 1 1 1 0
361 100181.1 0 0 0 0 1
362 100181.2 0 0 1 0 0
363 100182.1 0 0 0 0 0
364 100182.2 1 0 0 0 1
365 100183.2 0 1 0 0 1
366 100183.1 0 1 0 0 0
367 100184.2 1 1 1 0 1
368 100184.1 0 1 1 0 1
369 100185.1 0 0 1 1 0
370 100185.2 0 1 0 1 1
371 100186.2 0 1 0 1 1
372 100186.1 0 1 0 1 1
373 100187.2 0 1 0 1 1
374 100187.1 1 1 0 1 1
375 100188.1 1 1 1 1 1
376 100188.2 0 1 0 1 1
377 100189.1 0 1 0 1 1
378 100189.2 0 1 0 1 1
379 100190.2 1 1 1 1 1
380 100190.1 1 1 0 1 1
381 100191.2 0 1 1 1 0
382 100191.1 1 1 0 1 0
383 100192.1 1 0 0 0 0
384 100192.2 1 0 1 1 0
385 100193.2 1 0 1 0 0
386 100193.1 1 0 1 0 0
387 100194.1 1 0 1 1 0
388 100194.2 1 0 1 1 0
389 100195.2 1 1 1 0 0
390 100195.1 1 1 1 0 0
391 100196.1 0 0 0 1 0
392 100196.2 1 0 0 1 0
393 100197.2 0 1 0 1 0
394 100197.1 0 1 1 1 0
395 100198.1 1 1 0 1 0
396 100198.2 1 1 0 1 1
397 100199.2 1 1 1 1 1
398 100199.1 1 1 1 1 1
399 100200.2 1 1 1 1 1
400 100200.1 1 1 0 1 0
