SS00000009,210879_s_at
SS00000015,208767_s_at
SS00000022,222422_s_at
SS00000026,219408_at
SS00000034,202107_s_at
SS00000035,232274_at
SS00000039,212228_s_at
SS00000040,209686_at
SS00000048,226689_at
SS00000054,235300_x_at
SS00000056,225192_at
SS00000057,212785_s_at
SS00000058,205848_at
SS00000064,205797_s_at
SS00000066,225183_at
SS00000078,222190_s_at
SS00000079,201285_at
SS00000080,211542_x_at
SS00000083,205862_at
SS00000090,236095_at
SS00000097,209455_at
SS00000099,207714_s_at
SS00000101,219489_s_at
SS00000107,205787_x_at
SS00000120,212630_at
SS00000123,227012_at
SS00000130,243786_at
SS00000135,205350_at
SS00000137,205422_s_at
SS00000141,209016_s_at
SS00000151,225878_at
SS00000152,229642_at
SS00000159,204201_s_at
SS00000162,201742_x_at
SS00000163,204022_at
SS00000177,220495_s_at
SS00000178,210371_s_at
SS00000181,226288_s_at
SS00000185,221798_x_at
SS00000192,200968_s_at
SS00000197,223376_s_at
SS00000199,218587_s_at
SS00000200,209361_s_at
SS00000221,201575_at
SS00000230,217898_at
SS00000240,201522_x_at
SS00000244,211938_at
SS00000247,212696_s_at
SS00000257,217933_s_at
SS00000259,226126_at
SS00000261,208717_at
SS00000265,232004_at
SS00000275,208996_s_at
SS00000278,226782_at
SS00000279,200726_at
SS00000281,218462_at
SS00000290,217675_at
SS00000292,203751_x_at
SS00000308,231001_at
SS00000316,213926_s_at
SS00000317,226342_at
SS00000318,209034_at
SS00000324,1560397_s_at
SS00000331,215177_s_at
SS00000332,222990_at
SS00000333,244519_at
SS00000334,204091_at
SS00000335,202707_at
SS00000336,204899_s_at
SS00000340,219710_at
SS00000348,208395_s_at
SS00000351,225113_at
SS00000354,204082_at
SS00000364,234799_at
SS00000368,205100_at
SS00000372,205652_s_at
SS00000381,205991_s_at
SS00000382,215177_s_at
SS00000385,243825_at
SS00000394,205346_at
SS00000395,229265_at
SS00000397,227903_x_at
SS00000413,215548_s_at
SS00000415,204391_x_at
SS00000426,202271_at
SS00000429,209576_at
SS00000436,213021_at
SS00000438,208660_at
SS00000450,212982_at
SS00000484,202383_at
SS00000494,200059_s_at
SS00000495,228343_at
SS00000496,222923_s_at
SS00000519,206193_s_at
SS00000537,204904_at
SS00000541,203400_s_at
SS00000550,201605_x_at
SS00000579,205167_s_at
SS00000583,209344_at
SS00000600,203157_s_at
SS00000618,206929_s_at
SS00000662,209909_s_at
SS00000680,210038_at
SS00000690,213102_at
SS00000711,202240_at
SS00000758,210960_at
SS00000761,202310_s_at
SS00000764,214553_s_at
SS00000765,212724_at
SS00000770,205433_at
SS00000778,200703_at
SS00000792,224954_at
SS00000802,207282_s_at
SS00000806,204100_at
SS00000816,205016_at
SS00000817,200077_s_at
SS00000827,217140_s_at
SS00000828,211662_s_at
SS00000841,213499_at
SS00000867,201738_at
SS00000871,209324_s_at
SS00000876,209101_at
SS00000879,57532_at
SS00000903,212102_s_at
SS00000926,212143_s_at
SS00000939,227397_at
SS00000987,207553_at
SS00001012,204531_s_at
SS00001020,205440_s_at
SS00001023,210198_s_at
SS00001062,206693_at
SS00001104,204130_at
SS00001111,201602_s_at
SS00001119,203992_s_at
SS00001150,212312_at
SS00001158,212361_s_at
SS00001170,233980_s_at
SS00001173,203627_at
SS00001187,207145_at
SS00001188,202068_s_at
SS00001192,212048_s_at
SS00001203,211623_s_at
SS00001205,225886_at
SS00001206,201247_at
SS00001215,215905_s_at
SS00001216,207809_s_at
SS00001232,218169_at
SS00001233,203546_at
SS00001240,1553238_a_at
SS00001242,200974_at
SS00001243,219105_x_at
SS00001246,39729_at
SS00001263,216269_s_at
SS00001265,208221_s_at
SS00001273,204986_s_at
SS00001276,205059_s_at
SS00001281,204149_s_at
SS00001301,202296_s_at
SS00001312,214317_x_at
SS00001330,221475_s_at
SS00001349,211552_s_at
SS00001352,213941_x_at
SS00001355,212270_x_at
SS00001367,202115_s_at
SS00001371,209230_s_at
SS00001372,212146_at
SS00001373,212146_at
SS00001380,200078_s_at
SS00001386,212360_at
SS00001397,209635_at
SS00001424,1487_at
SS00001442,215543_s_at
SS00001444,221712_s_at
SS00001459,201526_at
SS00001465,223153_x_at
SS00001476,224626_at
SS00001506,203572_s_at
SS00001516,218300_at
SS00001518,209068_at
SS00001521,216237_s_at
SS00001525,209596_at
SS00001543,207071_s_at
SS00001557,212626_x_at
SS00001558,223394_at
SS00001587,1554668_a_at
SS00001593,217168_s_at
SS00001606,209651_at
SS00001641,220864_s_at
SS00001645,212226_s_at
SS00001647,212434_at
SS00001650,203866_at
SS00001654,232274_at
SS00001664,209420_s_at
SS00001674,218419_s_at
SS00001679,214266_s_at
SS00001685,217818_s_at
SS00001686,208881_x_at
SS00001710,223072_s_at
SS00001714,218081_at
SS00001717,219184_x_at
SS00001729,218436_at
SS00001731,217912_at
SS00001746,203839_s_at
SS00001768,213461_at
SS00001793,200697_at
SS00001799,213311_s_at
SS00001800,209837_at
SS00001805,221581_s_at
SS00001811,205264_at
SS00001829,224913_s_at
SS00001830,224913_s_at
SS00001851,221941_at
SS00001860,223398_at
SS00001862,223035_s_at
SS00001869,218526_s_at
SS00001870,218526_s_at
SS00001877,205918_at
SS00001879,226414_s_at
SS00001885,221818_at
SS00001893,201779_s_at
SS00001897,224583_at
SS00001902,203226_s_at
SS00001904,205075_at
SS00001913,209857_s_at
SS00001922,225235_at
SS00001925,224947_at
SS00001933,223179_at
SS00001942,218391_at
SS00001946,200097_s_at
SS00001947,202148_s_at
SS00001964,210097_s_at
SS00001971,211987_at
SS00001975,210573_s_at
SS00001980,219327_s_at
SS00001983,206587_at
SS00001999,1558703_at
SS00002009,218776_s_at
SS00002024,217025_s_at
SS00002043,214527_s_at
SS00002045,225052_at
SS00002051,57540_at
SS00002059,203886_s_at
SS00002064,203782_s_at
SS00002072,200912_s_at
SS00002073,221425_s_at
SS00002075,218095_s_at
SS00002077,230570_at
SS00002087,223050_s_at
SS00002088,228183_s_at
SS00002089,228183_s_at
SS00002097,1553765_a_at
SS00002102,208923_at
SS00002124,222560_at
SS00002132,212881_at
SS00002134,215729_s_at
SS00002150,226214_at
SS00002151,209691_s_at
SS00002154,202175_at
SS00002156,200700_s_at
SS00002160,209965_s_at
SS00002163,202623_at
SS00002176,211783_s_at
SS00002183,222675_s_at
SS00002217,220499_at
SS00002224,1553101_a_at
SS00002229,220477_s_at
SS00002239,1557795_s_at
SS00002240,203081_at
SS00002282,1555468_at
SS00002284,217868_s_at
SS00002286,209361_s_at
SS00002292,1560814_a_at
SS00002307,214780_s_at
SS00002313,236320_at
SS00002317,213102_at
SS00002332,1558703_at
SS00002340,203054_s_at
SS00002343,204802_at
SS00002345,229916_at
SS00002346,203173_s_at
SS00002354,200614_at
SS00002366,240459_at
SS00002374,226993_at
SS00002386,202945_at
SS00002393,207114_at
SS00002397,203437_at
SS00002398,226627_at
SS00002414,201655_s_at
SS00002415,200833_s_at
SS00002440,204954_s_at
SS00002443,218991_at
SS00002450,200999_s_at
SS00002454,225801_at
SS00002460,1555943_at
SS00002463,201405_s_at
SS00002470,217961_at
SS00002474,222388_s_at
SS00002492,205224_at
SS00002493,227723_at
SS00002514,222734_at
SS00002525,208958_at
SS00002527,1558315_s_at
SS00002531,229920_at
SS00002546,205700_at
SS00002558,203911_at
SS00002561,220289_s_at
SS00002562,202715_at
SS00002567,210006_at
SS00002574,203378_at
SS00002586,202793_at
SS00002587,202793_at
SS00002590,215789_s_at
SS00002593,203358_s_at
SS00002598,228663_x_at
SS00002600,226515_at
SS00002628,244344_at
SS00002630,213254_at
SS00002632,201379_s_at
SS00002635,201554_x_at
SS00002640,214454_at
SS00002647,231395_at
SS00002666,229666_s_at
SS00002667,1562026_at
SS00002674,219459_at
SS00002680,202701_at
SS00002697,211722_s_at
SS00002706,224800_at
SS00002709,202744_at
SS00002738,214180_at
SS00002740,228606_at
SS00002756,203652_at
SS00002760,212556_at
SS00002769,244108_at
SS00002784,219172_at
SS00002796,238457_at
SS00002801,218421_at
SS00002803,201797_s_at
SS00002807,230671_at
SS00002821,217782_s_at
SS00002823,208290_s_at
SS00002825,210428_s_at
SS00002829,203544_s_at
SS00002831,210732_s_at
SS00002837,217168_s_at
SS00002847,220547_s_at
SS00002850,226467_at
SS00002857,227480_at
SS00002874,225642_at
SS00002898,228383_at
SS00002900,201202_at
SS00002902,205079_s_at
SS00002913,200066_at
SS00002917,226767_s_at
SS00002921,238545_at
SS00002922,210025_s_at
SS00002934,210040_at
SS00002941,201704_at
SS00002945,1555608_at
SS00002949,211584_s_at
SS00002954,218702_at
SS00002959,223517_at
SS00002969,203921_at
SS00002974,1552690_a_at
SS00002975,220058_at
SS00002977,203839_s_at
SS00002984,212589_at
SS00002988,223599_at
SS00002992,209968_s_at
SS00003018,218767_at
SS00003021,215094_at
SS00003024,203465_at
SS00003028,226703_at
SS00003032,205492_s_at
SS00003043,202084_s_at
SS00003055,236257_at
SS00003057,202161_at
SS00003065,227153_at
SS00003071,203105_s_at
SS00003075,212506_at
SS00003076,1557366_at
SS00003091,214709_s_at
SS00003094,239694_at
SS00003097,1559239_s_at
SS00003109,219577_s_at
SS00003110,220987_s_at
SS00003113,222440_s_at
SS00003131,212592_at
SS00003146,215693_x_at
SS00003152,203130_s_at
SS00003158,203652_at
SS00003168,214448_x_at
SS00003172,218676_s_at
SS00003173,204985_s_at
SS00003176,218488_at
SS00003180,222675_s_at
SS00003182,222734_at
SS00003183,212630_at
SS00003189,219782_s_at
SS00003194,208879_x_at
SS00003206,222407_s_at
SS00003207,222819_at
SS00003210,228255_at
SS00003215,218202_x_at
SS00003241,213170_at
SS00003243,212937_s_at
SS00003244,227367_at
SS00003247,225451_at
SS00003248,223134_at
SS00003249,203831_at
SS00003257,33778_at
SS00003259,220987_s_at
SS00003262,218843_at
SS00003263,226747_at
SS00003273,1557279_at
SS00003277,203711_s_at
SS00003279,224775_at
SS00003289,212152_x_at
SS00003291,201440_at
SS00003297,242655_at
SS00003300,201681_s_at
SS00003312,218440_at
SS00003321,202908_at
SS00003326,200997_at
SS00003337,213309_at
SS00003340,206004_at
SS00003350,227359_at
SS00003366,206133_at
SS00003367,206453_s_at
SS00003370,209120_at
SS00003375,238923_at
SS00003377,203591_s_at
SS00003383,223423_at
SS00003387,215873_x_at
SS00003388,217779_s_at
SS00003394,202346_at
SS00003401,209571_at
SS00003407,222576_s_at
SS00003412,233868_x_at
SS00003415,200745_s_at
SS00003418,221554_at
SS00003423,219015_s_at
SS00003431,206833_s_at
SS00003433,223227_at
SS00003435,205381_at
SS00003442,1554894_a_at
SS00003445,226324_s_at
SS00003455,225389_at
SS00003460,202650_s_at
SS00003464,213845_at
SS00003477,231872_at
SS00003479,202641_at
SS00003486,218611_at
SS00003491,218720_x_at
SS00003496,218592_s_at
SS00003501,219475_at
SS00003503,223005_s_at
SS00003504,203205_at
SS00003507,206275_s_at
SS00003510,202652_at
SS00003514,227850_x_at
SS00003525,209229_s_at
SS00003527,204999_s_at
SS00003533,212282_at
SS00003571,227814_at
SS00003593,201890_at
SS00003594,225385_s_at
SS00003600,228516_at
SS00003611,213632_at
SS00003614,208561_at
SS00003620,204766_s_at
SS00003628,221252_s_at
SS00003636,227359_at
SS00003638,204027_s_at
SS00003640,203330_s_at
SS00003647,211474_s_at
SS00003650,201252_at
SS00003652,1558392_at
SS00003680,213075_at
SS00003694,242825_at
SS00003705,222460_s_at
SS00003714,1552516_a_at
SS00003715,238622_at
SS00003717,221972_s_at
SS00003720,213191_at
SS00003725,218911_at
SS00003727,208932_at
SS00003728,212334_at
SS00003761,236748_at
SS00003763,225738_at
SS00003770,226775_at
SS00003771,205109_s_at
SS00003779,216250_s_at
SS00003786,1554078_s_at
SS00003801,231441_at
SS00003813,202115_s_at
SS00003831,203165_s_at
SS00003833,1558502_s_at
SS00003835,200661_at
SS00003838,238483_at
SS00003848,203180_at
SS00003851,208919_s_at
SS00003856,1565149_at
SS00003858,212127_at
SS00003862,205149_s_at
SS00003888,217722_s_at
SS00003895,212707_s_at
SS00003900,218282_at
SS00003925,208165_s_at
SS00003928,211963_s_at
SS00003930,244858_at
SS00003932,217309_s_at
SS00003933,218375_at
SS00003943,230178_s_at
SS00003946,206582_s_at
SS00003952,239002_at
SS00003953,219352_at
SS00003962,243717_at
SS00003972,213888_s_at
SS00004001,203073_at
SS00004048,1558094_s_at
SS00004051,220013_at
SS00004052,217748_at
SS00004066,208775_at
SS00004069,223163_s_at
SS00004075,209447_at
SS00004084,206687_s_at
SS00004086,201079_at
SS00004104,206687_s_at
SS00004108,217782_s_at
SS00004110,212046_x_at
SS00004122,201787_at
SS00004126,202715_at
SS00004128,222101_s_at
SS00004136,224608_s_at
SS00004138,203486_s_at
SS00004141,214011_s_at
SS00004181,211931_s_at
SS00004224,214109_at
SS00004245,1555503_a_at
SS00004259,207824_s_at
SS00004260,202546_at
SS00004261,200808_s_at
SS00004263,200991_s_at
SS00004264,218214_at
SS00004275,212134_at
SS00004276,1569871_at
SS00004300,200092_s_at
SS00004303,201747_s_at
SS00004312,204934_s_at
SS00004320,218855_at
SS00004328,228980_at
SS00004350,201871_s_at
SS00004355,57163_at
SS00004357,224015_s_at
SS00004371,218074_at
SS00004372,218074_at
SS00004379,209075_s_at
SS00004385,202772_at
SS00004399,209899_s_at
SS00004409,225593_at
SS00004410,225593_at
SS00004419,224473_x_at
SS00004428,209461_x_at
SS00004440,208723_at
SS00004448,1555411_a_at
SS00004451,225467_s_at
SS00004458,1555680_a_at
SS00004461,218828_at
SS00004473,202486_at
SS00004474,222240_s_at
SS00004475,204473_s_at
SS00004483,222138_s_at
SS00004484,223112_s_at
