"ID","Gene.title","Gene.symbol","Gene.ID","Nucleotide.Title","GI","GenBank.Accession","Chromosome.location","Chromosome.annotation","GO.Function","GO.Process","GO.Component","GO.Function.ID","GO.Process.ID","GO.Component.ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"212307_s_at","O-linked N-acetylglucosamine (GlcNAc) transferase","OGT","8473","","","","Xq13","Chromosome X, NC_000023.10 (70752912..70795747)","acetylglucosaminyltransferase activity///enzyme activator activity///contributes_to histone acetyltransferase activity (H4-K16 specific)///contributes_to histone acetyltransferase activity (H4-K5 specific)///contributes_to histone acetyltransferase activity (H4-K8 specific)///phosphatidylinositol-3,4,5-trisphosphate binding///protein N-acetylglucosaminyltransferase activity///protein binding","apoptotic process///cellular response to retinoic acid///histone H3-K4 trimethylation///histone H4-K16 acetylation///histone H4-K5 acetylation///histone H4-K8 acetylation///induction of apoptosis///phosphatidylinositol-mediated signaling///positive regulation of catalytic activity///positive regulation of granulocyte differentiation///positive regulation of histone H3-K4 methylation///positive regulation of proteolysis///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription from RNA polymerase II promoter///protein O-linked glycosylation///protein O-linked glycosylation///regulation of Rac protein signal transduction///regulation of glycolysis///regulation of insulin receptor signaling pathway///response to insulin stimulus///response to nutrient///signal transduction","MLL5-L complex///centrosome///cytosol///histone acetyltransferase complex///mitochondrion///NOT nucleolus///nucleus///plasma membrane","GO:0008375///GO:0008047///contributes_to GO:0046972///contributes_to GO:0043995///contributes_to GO:0043996///GO:0005547///GO:0016262///GO:0005515","GO:0006915///GO:0071300///GO:0080182///GO:0043984///GO:0043981///GO:0043982///GO:0006917///GO:0048015///GO:0043085///GO:0030854///GO:0051571///GO:0045862///GO:0045944///GO:0045944///GO:0006493///GO:0006493///GO:0035020///GO:0006110///GO:0046626///GO:0032868///GO:0007584///GO:0007165","GO:0070688///GO:0005813///GO:0005829///GO:0000123///GO:0005739///NOT GO:0005730///GO:0005634///GO:0005886",-568.07037037037,1046.38529411765,-6.10208183863395,7.22923139436716e-07,0.0161088963160684,-4.49732633074884
"205456_at","CD3e molecule, epsilon (CD3-TCR complex)","CD3E","916","Homo sapiens CD3e molecule, epsilon (CD3-TCR complex) (CD3E), mRNA","166362733","NM_000733","11q23","Chromosome 11, NC_000011.9 (118175295..118186890)","SH3 domain binding///T cell receptor binding///protein heterodimerization activity///protein kinase binding///receptor signaling complex scaffold activity///receptor signaling protein activity///transmembrane signaling receptor activity","G-protein coupled receptor signaling pathway///T cell activation///T cell costimulation///T cell receptor signaling pathway///apoptotic signaling pathway///cell surface receptor signaling pathway///negative regulation of smoothened signaling pathway///negative thymic T cell selection///positive regulation of T cell anergy///positive regulation of T cell proliferation///positive regulation of alpha-beta T cell proliferation///positive regulation of calcium-mediated signaling///positive regulation of interferon-gamma production///positive regulation of interleukin-2 biosynthetic process///positive regulation of interleukin-4 production///positive regulation of peptidyl-tyrosine phosphorylation///protein complex assembly///regulation of apoptotic process///regulation of immune response///response to nutrient///signal complex assembly///transmembrane receptor protein tyrosine kinase signaling pathway","T cell receptor complex///T cell receptor complex///alpha-beta T cell receptor complex///external side of plasma membrane///immunological synapse///integral to plasma membrane///plasma membrane///plasma membrane","GO:0017124///GO:0042608///GO:0046982///GO:0019901///GO:0030159///GO:0005057///GO:0004888","GO:0007186///GO:0042110///GO:0031295///GO:0050852///GO:0097190///GO:0007166///GO:0045879///GO:0045060///GO:0002669///GO:0042102///GO:0046641///GO:0050850///GO:0032729///GO:0045086///GO:0032753///GO:0050731///GO:0006461///GO:0042981///GO:0050776///GO:0007584///GO:0007172///GO:0007169","GO:0042101///GO:0042101///GO:0042105///GO:0009897///GO:0001772///GO:0005887///GO:0005886///GO:0005886",-1143.58624338624,723.529411764706,-5.47224236317709,4.61656389725814e-06,0.0176715846979778,-4.50797058978091
"219315_s_at","transmembrane protein 204","TMEM204","79652","Homo sapiens transmembrane protein 204 (TMEM204), transcript variant 1, mRNA","374858055","NM_024600","16p13.3","Chromosome 16, NC_000016.9 (1578742..1605581)","","lymph vessel development///regulation of vascular endothelial growth factor receptor signaling pathway///response to stress///smooth muscle cell differentiation","adherens junction///integral to membrane///plasma membrane","","GO:0001945///GO:0030947///GO:0006950///GO:0051145","GO:0005912///GO:0016021///GO:0005886",-493.36455026455,454.567647058824,-5.44212691112938,5.04555963631644e-06,0.0176715846979778,-4.50850882514445
"204642_at","sphingosine-1-phosphate receptor 1","S1PR1","1901","Homo sapiens sphingosine-1-phosphate receptor 1 (S1PR1), mRNA","187281589","NM_001400","1p21","Chromosome 1, NC_000001.10 (101702305..101707076)","G-protein coupled receptor activity///sphingolipid binding///sphingosine-1-phosphate receptor activity","G-protein coupled receptor signaling pathway///adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway///angiogenesis///brain development///cell adhesion///elevation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway///endothelial cell differentiation///negative regulation of stress fiber assembly///neuron differentiation///positive regulation of Ras GTPase activity///positive regulation of cell migration///positive regulation of positive chemotaxis///positive regulation of smooth muscle cell proliferation///positive regulation of transcription from RNA polymerase II promoter///regulation of cell adhesion///transmission of nerve impulse","external side of plasma membrane///integral to membrane///plasma membrane","GO:0004930///GO:0046625///GO:0038036","GO:0007186///GO:0007193///GO:0001525///GO:0007420///GO:0007155///GO:0051482///GO:0045446///GO:0051497///GO:0030182///GO:0032320///GO:0030335///GO:0050927///GO:0048661///GO:0045944///GO:0030155///GO:0019226","GO:0009897///GO:0016021///GO:0005886",-474.37671957672,234.317647058824,-5.4052016658403,5.62635132902828e-06,0.0176715846979778,-4.50917239011769
"209583_s_at","CD200 molecule","CD200","4345","Homo sapiens brain my033 protein mRNA, complete cds","12002013","AF063591","3q12-q13","Chromosome 3, NC_000003.11 (112051916..112081659)","protein binding","regulation of immune response","integral to plasma membrane///plasma membrane","GO:0005515","GO:0050776","GO:0005887///GO:0005886",-159.69417989418,116.141176470588,-5.40220425805687,5.6763325683603e-06,0.0176715846979778,-4.50922642984452
"203685_at","B-cell CLL/lymphoma 2","BCL2","596","Homo sapiens B-cell CLL/lymphoma 2 (BCL2), nuclear gene encoding mitochondrial protein, transcript variant alpha, mRNA","72198188","NM_000633","18q21.3","Chromosome 18, NC_000018.9 (60790579..60986613, complement)","BH3 domain binding///channel activity///channel inhibitor activity///identical protein binding///protease binding///protein binding///protein heterodimerization activity///protein homodimerization activity///protein phosphatase 2A binding///sequence-specific DNA binding///transcription factor binding///ubiquitin protein ligase binding","B cell homeostasis///B cell lineage commitment///B cell proliferation///B cell receptor signaling pathway///CD8-positive, alpha-beta T cell lineage commitment///G1/S transition of mitotic cell cycle///T cell differentiation in thymus///T cell homeostasis///actin filament organization///apoptotic process///axon regeneration///behavioral fear response///branching involved in ureteric bud morphogenesis///cell aging///cell death///cell growth///cell-cell adhesion///cellular response to organic substance///cochlear nucleus development///defense response to virus///developmental growth///digestive tract morphogenesis///ear development///endoplasmic reticulum calcium ion homeostasis///extrinsic apoptotic signaling pathway via death domain receptors///female pregnancy///focal adhesion assembly///gland morphogenesis///glomerulus development///hair follicle morphogenesis///homeostasis of number of cells within a tissue///humoral immune response///innate immune response///intrinsic apoptotic signaling pathway///intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress///lymphoid progenitor cell differentiation///male gonad development///melanin metabolic process///melanocyte differentiation///mesenchymal cell development///metanephros development///negative regulation of anoikis///negative regulation of apoptotic process///negative regulation of apoptotic process///negative regulation of apoptotic signaling pathway///negative regulation of autophagy///negative regulation of calcium ion transport into cytosol///negative regulation of cell growth///negative regulation of cell migration///negative regulation of cellular pH reduction///negative regulation of intrinsic apoptotic signaling pathway///negative regulation of mitochondrial depolarization///negative regulation of mitotic cell cycle///negative regulation of myeloid cell apoptotic process///negative regulation of neuron apoptotic process///negative regulation of ossification///negative regulation of osteoblast proliferation///negative regulation of retinal cell programmed cell death///neuron apoptotic process///nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway///oocyte development///organ growth///ossification///ovarian follicle development///peptidyl-serine phosphorylation///peptidyl-threonine phosphorylation///pigment granule organization///positive regulation of B cell proliferation///positive regulation of catalytic activity///positive regulation of cell growth///positive regulation of intrinsic apoptotic signaling pathway///positive regulation of melanocyte differentiation///positive regulation of multicellular organism growth///positive regulation of neuron maturation///positive regulation of peptidyl-serine phosphorylation///positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway///positive regulation of skeletal muscle fiber development///positive regulation of smooth muscle cell migration///post-embryonic development///protein dephosphorylation///protein polyubiquitination///reactive oxygen species metabolic process///regulation of calcium ion transport///regulation of cell-matrix adhesion///regulation of glycoprotein biosynthetic process///regulation of mitochondrial membrane permeability///regulation of mitochondrial membrane potential///regulation of nitrogen utilization///regulation of protein heterodimerization activity///regulation of protein homodimerization activity///regulation of protein stability///regulation of transmembrane transporter activity///regulation of viral genome replication///release of cytochrome c from mitochondria///release of cytochrome c from mitochondria///renal system process///response to DNA damage stimulus///response to UV-B///response to acid///response to cytokine stimulus///response to drug///response to drug///response to external stimulus///response to gamma radiation///response to glucocorticoid stimulus///response to hydrogen peroxide///response to iron ion///response to nicotine///response to radiation///response to toxic substance///spleen development///thymus development","cytoplasm///cytosol///endoplasmic reticulum///endoplasmic reticulum membrane///membrane///mitochondrial outer membrane///mitochondrial outer membrane///mitochondrion///myelin sheath///nuclear membrane///nucleus///pore complex","GO:0051434///GO:0015267///GO:0016248///GO:0042802///GO:0002020///GO:0005515///GO:0046982///GO:0042803///GO:0051721///GO:0043565///GO:0008134///GO:0031625","GO:0001782///GO:0002326///GO:0042100///GO:0050853///GO:0043375///GO:0000082///GO:0033077///GO:0043029///GO:0007015///GO:0006915///GO:0031103///GO:0001662///GO:0001658///GO:0007569///GO:0008219///GO:0016049///GO:0016337///GO:0071310///GO:0021747///GO:0051607///GO:0048589///GO:0048546///GO:0043583///GO:0032469///GO:0008625///GO:0007565///GO:0048041///GO:0022612///GO:0032835///GO:0031069///GO:0048873///GO:0006959///GO:0045087///GO:0097193///GO:0070059///GO:0002320///GO:0008584///GO:0006582///GO:0030318///GO:0014031///GO:0001656///GO:2000811///GO:0043066///GO:0043066///GO:2001234///GO:0010507///GO:0010523///GO:0030308///GO:0030336///GO:0032848///GO:2001243///GO:0051902///GO:0045930///GO:0033033///GO:0043524///GO:0030279///GO:0033689///GO:0046671///GO:0051402///GO:0035872///GO:0048599///GO:0035265///GO:0001503///GO:0001541///GO:0018105///GO:0018107///GO:0048753///GO:0030890///GO:0043085///GO:0030307///GO:2001244///GO:0045636///GO:0040018///GO:0014042///GO:0033138///GO:1900740///GO:0048743///GO:0014911///GO:0009791///GO:0006470///GO:0000209///GO:0072593///GO:0051924///GO:0001952///GO:0010559///GO:0046902///GO:0051881///GO:0006808///GO:0043497///GO:0043496///GO:0031647///GO:0022898///GO:0045069///GO:0001836///GO:0001836///GO:0003014///GO:0006974///GO:0010224///GO:0001101///GO:0034097///GO:0042493///GO:0042493///GO:0009605///GO:0010332///GO:0051384///GO:0042542///GO:0010039///GO:0035094///GO:0009314///GO:0009636///GO:0048536///GO:0048538","GO:0005737///GO:0005829///GO:0005783///GO:0005789///GO:0016020///GO:0005741///GO:0005741///GO:0005739///GO:0043209///GO:0031965///GO:0005634///GO:0046930",-606.344444444444,690.491176470588,-5.4019342633833,5.68085641667936e-06,0.0176715846979778,-4.50923129881759
"213106_at","ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1","ATP8A1","10396","wj25f11.x1 NCI_CGAP_Kid12 Homo sapiens cDNA clone IMAGE:2403885 3-, mRNA sequence","5236197","AI769688","4p13","Chromosome 4, NC_000004.11 (42410390..42659122, complement)","ATP binding///aminophospholipid transporter activity///cation-transporting ATPase activity///magnesium ion binding///phospholipid-translocating ATPase activity///protein binding","aminophospholipid transport///ion transmembrane transport///phospholipid translocation///transmembrane transport","chromaffin granule membrane///endoplasmic reticulum///integral to membrane///plasma membrane","GO:0005524///GO:0015247///GO:0019829///GO:0000287///GO:0004012///GO:0005515","GO:0015917///GO:0034220///GO:0045332///GO:0055085","GO:0042584///GO:0005783///GO:0016021///GO:0005886",-196.587830687831,378.314705882353,-5.32498930450632,7.12866553146682e-06,0.0176715846979778,-4.51062754568986
"221011_s_at","limb bud and heart development","LBH","81606","Homo sapiens limb bud and heart development (LBH), mRNA","149274623","NM_030915","2p23.1","Chromosome 2, NC_000002.11 (30454397..30482899)","","multicellular organismal development///positive regulation of transcription, DNA-dependent///transcription, DNA-dependent","cytoplasm///intracellular membrane-bounded organelle///nucleolus","","GO:0007275///GO:0045893///GO:0006351","GO:0005737///GO:0043231///GO:0005730",-853.78835978836,556.405882352941,-5.29498134014969,7.78850416204934e-06,0.0176715846979778,-4.51117673150796
"211211_x_at","SH2 domain containing 1A","SH2D1A","4068","Homo sapiens SH2 domain protein 1A isoform E (SH2D1A) mRNA, complete cds","3928899","AF100542","Xq25","Chromosome X, NC_000023.10 (123480132..123507010)","SH3/SH2 adaptor activity","cell-cell signaling///cellular defense response///humoral immune response///positive regulation of natural killer cell mediated cytotoxicity","cytoplasm","GO:0005070","GO:0007267///GO:0006968///GO:0006959///GO:0045954","GO:0005737",-211.980423280423,174.791176470588,-5.25764567146696,8.69523672091289e-06,0.0176715846979778,-4.51186365784068
"221671_x_at","immunoglobulin kappa locus///immunoglobulin kappa constant","IGK///IGKC","50802///3514","Human Ig rearranged gamma chain mRNA, V-J-C region and complete cds","184847","M63438","2p12///2p12","Chromosome 2, NC_000002.11 (89156874..89630436, complement)///Chromosome 2, NC_000002.11 (89890569..90274236)///Chromosome 2, NC_000002.11 (89156874..89157196, complement)","antigen binding","Fc-epsilon receptor signaling pathway///Fc-gamma receptor signaling pathway involved in phagocytosis///complement activation///complement activation, classical pathway///immune response///innate immune response///regulation of immune response","extracellular region///extracellular region///plasma membrane","GO:0003823","GO:0038095///GO:0038096///GO:0006956///GO:0006958///GO:0006955///GO:0045087///GO:0050776","GO:0005576///GO:0005576///GO:0005886",-2457.39365079365,787.311764705882,-5.19850420341555,1.03519483002707e-05,0.0176715846979778,-4.51295998953022
