A_72_P000091,A_24_P192914
A_72_P000171,A_23_P337790
A_72_P000171,A_24_P153576
A_72_P000171,A_33_P3216083
A_72_P000696,A_23_P31064
A_72_P001016,A_24_P64100
A_72_P001016,A_33_P3343210
A_72_P001296,A_23_P140328
A_72_P001406,A_33_P3336282
A_72_P001406,A_33_P3358626
A_72_P001831,A_23_P87664
A_72_P001891,A_24_P150486
A_72_P001911,A_23_P204736
A_72_P002106,A_23_P128174
A_72_P002161,A_33_P3253799
A_72_P002161,A_23_P73457
A_72_P002181,A_23_P143987
A_72_P002181,A_24_P944827
A_72_P002761,A_24_P45005
A_72_P002761,A_33_P3332865
A_72_P002761,A_32_P797019
A_72_P002851,A_33_P3354451
A_72_P002891,A_33_P3358233
A_72_P002891,A_23_P103672
A_72_P002897,A_23_P67648
A_72_P003306,A_24_P174793
A_72_P003396,A_23_P164436
A_72_P003896,A_33_P3244803
A_72_P003956,A_23_P82941
A_72_P004021,A_23_P128147
A_72_P004046,A_24_P134392
A_72_P004316,A_23_P151975
A_72_P004421,A_23_P40354
A_72_P004421,A_24_P220058
A_72_P004426,A_23_P52101
A_72_P004441,A_23_P36865
A_72_P004516,A_23_P146274
A_72_P004646,A_33_P3210423
A_72_P004646,A_24_P940666
A_72_P004766,A_24_P115990
A_72_P005011,A_32_P44453
A_72_P005061,A_24_P176255
A_72_P005061,A_23_P205789
A_72_P005131,A_24_P148717
A_72_P005136,A_32_P126311
A_72_P005156,A_24_P260699
A_72_P005156,A_23_P70384
A_72_P005751,A_23_P168916
A_72_P005821,A_32_P184464
A_72_P005821,A_33_P3328990
A_72_P006061,A_23_P63209
A_72_P006236,A_23_P7099
A_72_P006241,A_33_P3392447
A_72_P006281,A_23_P217564
A_72_P006401,A_23_P393425
A_72_P006531,A_24_P373174
A_72_P006556,A_33_P3341189
A_72_P006556,A_23_P148446
A_72_P006641,A_23_P31399
A_72_P006826,A_23_P102404
A_72_P006871,A_23_P142688
A_72_P006871,A_24_P928217
A_72_P007556,A_24_P941051
A_72_P007656,A_23_P54079
A_72_P007726,A_33_P3237634
A_72_P007731,A_33_P3613000
A_72_P007896,A_23_P62807
A_72_P008021,A_23_P130418
A_72_P008086,A_23_P380326
A_72_P008351,A_24_P241318
A_72_P008351,A_33_P3419234
A_72_P008351,A_33_P3768992
A_72_P008351,A_33_P3386414
A_72_P008741,A_33_P3592015
A_72_P009101,A_24_P244100
A_72_P009851,A_23_P63847
A_72_P009891,A_23_P54144
A_72_P009966,A_33_P3358233
A_72_P009966,A_23_P103672
A_72_P009991,A_33_P3271350
A_72_P010016,A_23_P61674
A_72_P010246,A_33_P3306146
A_72_P010246,A_23_P24104
A_72_P010326,A_23_P17663
