"ID","Gene.title","Gene.symbol","Gene.ID","Nucleotide.Title","GI","GenBank.Accession","Chromosome.location","Chromosome.annotation","GO.Function","GO.Process","GO.Component","GO.Function.ID","GO.Process.ID","GO.Component.ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NM_014300_at","SEC11 homolog A (S. cerevisiae)","SEC11A","23478","Homo sapiens SEC11 homolog A (S. cerevisiae) (SEC11A), transcript variant 2, mRNA","429836875","NM_014300","15q25.3","Chromosome 15, NC_000015.9 (85212775..85259674, complement)","serine-type peptidase activity","SRP-dependent cotranslational protein targeting to membrane///cellular protein metabolic process///gene expression///proteolysis///regulation of insulin secretion///signal peptide processing///translation","endoplasmic reticulum membrane///integral to membrane","GO:0008236","GO:0006614///GO:0044267///GO:0010467///GO:0006508///GO:0050796///GO:0006465///GO:0006412","GO:0005789///GO:0016021",-0.242023876948533,11.4435326668,-3.98382925528592,0.00022488774753251,0.579118212220731,0.366430911727441
"NM_014241_at","protein tyrosine phosphatase-like (proline instead of catalytic arginine), member A","PTPLA","9200","Homo sapiens protein tyrosine phosphatase-like (proline instead of catalytic arginine), member A (PTPLA), mRNA","82659104","NM_014241","10p14-p13","Chromosome 10, NC_000010.10 (17631958..17659373, complement)","lyase activity///protein tyrosine phosphatase activity","fatty acid biosynthetic process///multicellular organismal development///peptidyl-tyrosine dephosphorylation///protein dephosphorylation///signal transduction","endoplasmic reticulum membrane///integral to membrane","GO:0016829///GO:0004725","GO:0006633///GO:0007275///GO:0035335///GO:0006470///GO:0007165","GO:0005789///GO:0016021",-0.520643348018384,8.36341804016,-3.9736700581334,0.000232254003951895,0.579118212220731,0.340418630417648
"NM_007001_at","solute carrier family 35, member D2","SLC35D2","11046","Homo sapiens solute carrier family 35, member D2 (SLC35D2), mRNA","223029425","NM_007001","9q22.32","Chromosome 9, NC_000009.11 (99082988..99145992, complement)","nucleotide-sugar transmembrane transporter activity","biological_process///carbohydrate metabolic process///carbohydrate transport///glycosaminoglycan biosynthetic process///glycosaminoglycan metabolic process///keratan sulfate biosynthetic process///keratan sulfate metabolic process///small molecule metabolic process///transmembrane transport","Golgi membrane///cellular_component///integral to membrane","GO:0005338","GO:0008150///GO:0005975///GO:0008643///GO:0006024///GO:0030203///GO:0018146///GO:0042339///GO:0044281///GO:0055085","GO:0000139///GO:0005575///GO:0016021",-0.374830082500001,7.0104717144,-3.96123682477507,0.000241586991920072,0.579118212220731,0.308622821099354
"NM_024917_at","tRNA methyltransferase 2 homolog B (S. cerevisiae)","TRMT2B","79979","Homo sapiens tRNA methyltransferase 2 homolog B (S. cerevisiae) (TRMT2B), transcript variant 1, mRNA","269784674","NM_024917","Xq22.1","Chromosome X, NC_000023.10 (100264334..100307105, complement)","S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity","","mitochondrion","GO:0030697","","GO:0005739",-0.945016851985296,2.2955794484,-3.93959720226913,0.000258702086282345,0.579118212220731,0.253386834503279
"NM_022460_at","HCLS1 binding protein 3","HS1BP3","64342","Homo sapiens HCLS1 binding protein 3 (HS1BP3), mRNA","68800429","NM_022460","2p24.1","Chromosome 2, NC_000002.11 (20817564..20850864, complement)","phosphatidylinositol binding","cell communication","","GO:0035091","GO:0007154","",-0.770546670029413,6.28607386288,-3.93460164202798,0.000262816488936801,0.579118212220731,0.240654316890886
"NM_006463_at","STAM binding protein","STAMBP","10617","Homo sapiens STAM binding protein (STAMBP), transcript variant 1, mRNA","338968849","NM_006463","2p13.1","Chromosome 2, NC_000002.11 (74056043..74094295)","metal ion binding///metallopeptidase activity///protein binding///ubiquitin-specific protease activity","JAK-STAT cascade///mitotic cytokinesis///negative regulation of apoptotic process///positive regulation of cell proliferation///protein deubiquitination///proteolysis","cleavage furrow///cytoplasm///early endosome///NOT nucleolus///nucleus///plasma membrane","GO:0046872///GO:0008237///GO:0005515///GO:0004843","GO:0007259///GO:0000281///GO:0043066///GO:0008284///GO:0016579///GO:0006508","GO:0032154///GO:0005737///GO:0005769///NOT GO:0005730///GO:0005634///GO:0005886",-0.293037315191177,7.25311734592,-3.88922938414538,0.000303195706681638,0.579118212220731,0.125339802097775
"NM_201647_at","STAM binding protein","STAMBP","10617","Homo sapiens STAM binding protein (STAMBP), transcript variant 2, mRNA","338968850","NM_201647","2p13.1","Chromosome 2, NC_000002.11 (74056043..74094295)","metal ion binding///metallopeptidase activity///protein binding///ubiquitin-specific protease activity","JAK-STAT cascade///mitotic cytokinesis///negative regulation of apoptotic process///positive regulation of cell proliferation///protein deubiquitination///proteolysis","cleavage furrow///cytoplasm///early endosome///NOT nucleolus///nucleus///plasma membrane","GO:0046872///GO:0008237///GO:0005515///GO:0004843","GO:0007259///GO:0000281///GO:0043066///GO:0008284///GO:0016579///GO:0006508","GO:0032154///GO:0005737///GO:0005769///NOT GO:0005730///GO:0005634///GO:0005886",-0.293037315191177,7.25311734592,-3.88922938414538,0.000303195706681638,0.579118212220731,0.125339802097775
"NM_213622_at","STAM binding protein","STAMBP","10617","Homo sapiens STAM binding protein (STAMBP), transcript variant 3, mRNA","338968853","NM_213622","2p13.1","Chromosome 2, NC_000002.11 (74056043..74094295)","metal ion binding///metallopeptidase activity///protein binding///ubiquitin-specific protease activity","JAK-STAT cascade///mitotic cytokinesis///negative regulation of apoptotic process///positive regulation of cell proliferation///protein deubiquitination///proteolysis","cleavage furrow///cytoplasm///early endosome///NOT nucleolus///nucleus///plasma membrane","GO:0046872///GO:0008237///GO:0005515///GO:0004843","GO:0007259///GO:0000281///GO:0043066///GO:0008284///GO:0016579///GO:0006508","GO:0032154///GO:0005737///GO:0005769///NOT GO:0005730///GO:0005634///GO:0005886",-0.293037315191177,7.25311734592,-3.88922938414538,0.000303195706681638,0.579118212220731,0.125339802097775
"NM_017869_at","BTG3 associated nuclear protein","BANP","54971","Homo sapiens BTG3 associated nuclear protein (BANP), transcript variant 1, mRNA","109698607","NM_017869","16q24","Chromosome 16, NC_000016.9 (87985038..88110924)","DNA binding///p53 binding","cell cycle///chromatin modification///multicellular organismal development///negative regulation of protein catabolic process///protein localization to nucleus///regulation of transcription, DNA-dependent///transcription, DNA-dependent","nucleus","GO:0003677///GO:0002039","GO:0007049///GO:0016568///GO:0007275///GO:0042177///GO:0034504///GO:0006355///GO:0006351","GO:0005634",-0.471572216658088,3.74646325036,-3.82741853178499,0.000367944758226618,0.579118212220731,-0.0307774243290844
"NM_079837_at","BTG3 associated nuclear protein","BANP","54971","Homo sapiens BTG3 associated nuclear protein (BANP), transcript variant 2, mRNA","109698608","NM_079837","16q24","Chromosome 16, NC_000016.9 (87985038..88110924)","DNA binding///p53 binding","cell cycle///chromatin modification///multicellular organismal development///negative regulation of protein catabolic process///protein localization to nucleus///regulation of transcription, DNA-dependent///transcription, DNA-dependent","nucleus","GO:0003677///GO:0002039","GO:0007049///GO:0016568///GO:0007275///GO:0042177///GO:0034504///GO:0006355///GO:0006351","GO:0005634",-0.471572216658088,3.74646325036,-3.82741853178499,0.000367944758226618,0.579118212220731,-0.0307774243290844
